symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
600588.SS,"Yonyou Network Technology Co.,Ltd.",EQUITY,CNY,china,"{'raw': 71218462720, 'fmt': '71.218B', 'longFmt': '71,218,462,720'}",10394731554,yonyou
601881.SS,"China Galaxy Securities Co., Ltd.",EQUITY,CNY,china,"{'raw': 71125368832, 'fmt': '71.125B', 'longFmt': '71,125,368,832'}",10381143983,"china,galaxy"
600233.SS,"YTO Express Group Co.,Ltd.",EQUITY,CNY,china,"{'raw': 70441074688, 'fmt': '70.441B', 'longFmt': '70,441,074,688'}",10281267438,yto
601600.SS,Aluminum Corporation of China Limited,EQUITY,CNY,china,"{'raw': 70771458048, 'fmt': '70.771B', 'longFmt': '70,771,458,048'}",10329488731,"aluminum,corporation"
000876.SZ,"New Hope Liuhe Co.,Ltd.",EQUITY,CNY,china,"{'raw': 70684860416, 'fmt': '70.685B', 'longFmt': '70,684,860,416'}",10316849324,"new,hope,liuhe"
688396.SS,China Resources Microelectronics Limited,EQUITY,CNY,china,"{'raw': 69713952768, 'fmt': '69.714B', 'longFmt': '69,713,952,768'}",10175139942,"china,resources"
600958.SS,Orient Securities Company Limited,EQUITY,CNY,china,"{'raw': 68940849152, 'fmt': '68.941B', 'longFmt': '68,940,849,152'}",10062301160,"orient,securities"
002074.SZ,"Gotion High-tech Co.,Ltd.",EQUITY,CNY,china,"{'raw': 68842274816, 'fmt': '68.842B', 'longFmt': '68,842,274,816'}",10047913687,gotion
300142.SZ,"Walvax Biotechnology Co., Ltd.",EQUITY,CNY,china,"{'raw': 68644843520, 'fmt': '68.645B', 'longFmt': '68,644,843,520'}",10019097489,walvax
300979.SZ,Huali Industrial Group Company Limited,EQUITY,CNY,china,"{'raw': 68526243840, 'fmt': '68.526B', 'longFmt': '68,526,243,840'}",10001787204,huali
601916.SS,"China Zheshang Bank Co., Ltd",EQUITY,CNY,china,"{'raw': 67752161280, 'fmt': '67.752B', 'longFmt': '67,752,161,280'}",9888805540,zheshang
688363.SS,Bloomage BioTechnology Corporation Limited,EQUITY,CNY,china,"{'raw': 66389729280, 'fmt': '66.39B', 'longFmt': '66,389,729,280'}",9689950997,"bloomage,biotechnology"
600845.SS,"Shanghai Baosight Software Co.,Ltd.",EQUITY,CNY,china,"{'raw': 66319167488, 'fmt': '66.319B', 'longFmt': '66,319,167,488'}",9679652110,baosight
603290.SS,StarPower Semiconductor Ltd.,EQUITY,CNY,china,"{'raw': 66111533056, 'fmt': '66.112B', 'longFmt': '66,111,533,056'}",9649346707,starpower
600803.SS,"ENN Natural Gas Co., Ltd.",EQUITY,CNY,china,"{'raw': 64978898944, 'fmt': '64.979B', 'longFmt': '64,978,898,944'}",9484032446,enn
600085.SS,"Beijing Tongrentang Co., Ltd",EQUITY,CNY,china,"{'raw': 64527659008, 'fmt': '64.528B', 'longFmt': '64,527,659,008'}",9418171463,tongrentang
003022.SZ,Levima Advanced Materials Corporation,EQUITY,CNY,china,"{'raw': 64147427328, 'fmt': '64.147B', 'longFmt': '64,147,427,328'}",9362674530,levima
300628.SZ,"Yealink Network Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 64244539392, 'fmt': '64.245B', 'longFmt': '64,244,539,392'}",9376848577,yealink
000733.SZ,"China Zhenhua (Group) Science & Technology Co., Ltd",EQUITY,CNY,china,"{'raw': 62891106304, 'fmt': '62.891B', 'longFmt': '62,891,106,304'}",9179307475,zhenhua
000617.SZ,CNPC Capital Company Limited,EQUITY,CNY,china,"{'raw': 62451974144, 'fmt': '62.452B', 'longFmt': '62,451,974,144'}",9115213689,cnpc
601615.SS,Ming Yang Smart Energy Group Limited,EQUITY,CNY,china,"{'raw': 62255267840, 'fmt': '62.255B', 'longFmt': '62,255,267,840'}",9086503307,"ming,yang"
300769.SZ,"Shenzhen Dynanonic Co., Ltd",EQUITY,CNY,china,"{'raw': 61939113984, 'fmt': '61.939B', 'longFmt': '61,939,113,984'}",9040358890,dynanonic
601018.SS,Ningbo Zhoushan Port Company Limited,EQUITY,CNY,china,"{'raw': 62123081728, 'fmt': '62.123B', 'longFmt': '62,123,081,728'}",9067210007,"ningbo,zhoushan"
600741.SS,HUAYU Automotive Systems Company Limited,EQUITY,CNY,china,"{'raw': 61635670016, 'fmt': '61.636B', 'longFmt': '61,635,670,016'}",8996069552,huayu
688008.SS,"Montage Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 61580410880, 'fmt': '61.58B', 'longFmt': '61,580,410,880'}",8988004173,"montage,technology"
600426.SS,"Shandong Hualu-Hengsheng Chemical Co., Ltd.",EQUITY,CNY,china,"{'raw': 61148647424, 'fmt': '61.149B', 'longFmt': '61,148,647,424'}",8924985890,hualu-hengsheng
300919.SZ,"CNGR Advanced Material Co.,Ltd.",EQUITY,CNY,china,"{'raw': 61027667968, 'fmt': '61.028B', 'longFmt': '61,027,667,968'}",8907328264,cngr
601618.SS,Metallurgical Corporation of China Ltd.,EQUITY,CNY,china,"{'raw': 60348243968, 'fmt': '60.348B', 'longFmt': '60,348,243,968'}",8808162545,"metallurgical,corporation"
688032.SS,Hoymiles Power Electronics Inc.,EQUITY,CNY,china,"{'raw': 60172001280, 'fmt': '60.172B', 'longFmt': '60,172,001,280'}",8782438942,hoymiles
600674.SS,"Sichuan Chuantou Energy Co.,Ltd.",EQUITY,CNY,china,"{'raw': 60118298624, 'fmt': '60.118B', 'longFmt': '60,118,298,624'}",8774600740,chuantou
605499.SS,"Eastroc Beverage (Group) Co.,Ltd.",EQUITY,CNY,china,"{'raw': 59241480192, 'fmt': '59.241B', 'longFmt': '59,241,480,192'}",8646624203,eastroc
600884.SS,"Ningbo Shanshan Co.,Ltd.",EQUITY,CNY,china,"{'raw': 59364220928, 'fmt': '59.364B', 'longFmt': '59,364,220,928'}",8664538898,shanshan
603185.SS,"Wuxi Shangji Automation Co., Ltd.",EQUITY,CNY,china,"{'raw': 59081256960, 'fmt': '59.081B', 'longFmt': '59,081,256,960'}",8623238730,shangji
002821.SZ,"Asymchem Laboratories (Tianjin) Co., Ltd.",EQUITY,CNY,china,"{'raw': 59030163456, 'fmt': '59.03B', 'longFmt': '59,030,163,456'}",8615781348,asymchem
601727.SS,Shanghai Electric Group Company Limited,EQUITY,CNY,china,"{'raw': 59054911488, 'fmt': '59.055B', 'longFmt': '59,054,911,488'}",8619393461,"shanghai,electric"
600570.SS,Hundsun Technologies Inc.,EQUITY,CNY,china,"{'raw': 56886300672, 'fmt': '56.886B', 'longFmt': '56,886,300,672'}",8302872626,hundsun
002410.SZ,Glodon Company Limited,EQUITY,CNY,china,"{'raw': 58679664640, 'fmt': '58.68B', 'longFmt': '58,679,664,640'}",8564624092,glodon
600176.SS,"China Jushi Co., Ltd.",EQUITY,CNY,china,"{'raw': 58445848576, 'fmt': '58.446B', 'longFmt': '58,445,848,576'}",8530497335,jushi
